"Sr No
(link to coverage)",Feature,Goal,Feature Description,Expectation,Bins,"Pass/Fail Criteria
(checker)",Functional Coverage ,Feature covered,Notes,Spec,,
cp_ssstrictv_widening_source_overlap,,"Confrim for every instruction with the .w* suffix (and widening reduction operations), that if vs1 and vs2 are the same register, the encoding is reserved","Run a widening instruction with sew = {supported}, lmul = {1/2/4}, vs2 = vs1 = v8

Crossing all lmul (except 8 as it implies an emul of 16) confrims that the overlap is recognized for all sizes of register groups and running with v8 keeps register group alignment and removes and possible conflicts with v0",trap,4 lmul bins,,,,,"An encoding that would result in the same vector register being read with two or more different EEWs, including when the vector register appears at different positions within two or more vector register groups, is reserved. ",,
cp_ssstrictv_all_widening_source_overlap,,"Confrim for a single instruction with the .w* suffix (and widening reduction operations), every combination of vs1 and vs2 across lmul = {1/2/4/8} is reserved","With a widdening instruction cross vs1 = {0-31} with vs2 = {0-31} and lmul = {1/2/4} with sew = {supported}

Crossing all lmul (except 8 as it implies an emul of 16) confrims that the overlap is recognized for all sizes of register groups. Although much trapping will occur becuase of incorrect register alignment, this simplifies both the writing of the coverpoint and testing",trap,32 vs1 x 32 vs2 x 4 lmul,,,,,"An encoding that would result in the same vector register being read with two or more different EEWs, including when the vector register appears at different positions within two or more vector register groups, is reserved. ",,
All vzext and vsext instructions ending in f2,,,,,,,,,,,,
cp_ssstrictv_vext2_overlapping_vd_vs2,,"Confirm that with zero and sign extending instructions ending in ""f2,"" when the vs2 overlaps the bottom half of the vd register group the operation is illegal","Conduct a widening operation with lmul=2, vd group aligned and vs2 overlapping the bottom half of the vd register group (if lmul is 2 and vd = v0 then vs2 would be v0 for vzext.vf2).

If vd and vs2 registers must overlap in this manner it is illegal",trap,1,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,
All vzext and vsext instructions ending in f4,,,,,,,,,,,,
cp_ssstrictv_vext4_overlapping_vd_vs2,,"Confirm that with zero and sign extending instructions ending in ""f4,"" when the vs2 overlaps the bottom 3/4 of the vd register group the operation is illegal","Conduct a widening operation with lmul=4, vd group aligned and vs2 overlapping the bottom 3/4 of the vd register group (if lmul is 4 and vd = v0 then vs2 could be v0, v1, or v2 for vzext.vf4).

If the vd and vs2 registers overlap in this manner it is illegal",trap,1,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,
All vzext and vsext instructions ending in f8,,,,,,,,,,,,
cp_ssstrictv_vext8_overlapping_vd_vs2,,"Confirm that with zero and sign extending instructions ending in ""f8,"" when the vs2 overlaps the bottom 7/8 of the vd register group the operation is illegal","Conduct a widening operation with lmul=8, vd group aligned and vs2 overlapping the bottom 7/8 of the vd register group (if lmul is 8 and vd = v0 then vs2 could be v{0-6} for vzext.vf8).

If the vd and vs2 registers must overlap in this manner it is illegal",trap,1,,,,,"A destination vector register group can overlap a source vector register group only if one of the following holds:

The destination EEW is greater than the source EEW, the source EMUL is at least 1, and the overlap is in the highest-numbered part of the destination register group (e.g., when LMUL=8, vzext.vf4 v0, v6 is legal, but a source of v0, v2, or v4 is not).",,
Should this be cominued for lmul > 1,,,,,,,,,,,,
All widening instructions except reduction,,,,,,,,,,,,
